lyrics,singer,song
"Why I love to give you flowers on a Wednesday, 12 dozen roses at your door.

Or even light some candles when you come over for dinner, I wouldn’t mind to light a billion more.

Or how I like to wake up and see you with no make up, I’d still give you a ring the way you are. 

Or stay up on the phone late at night when you’re alone, looking out the window gazing up at stars.

Chorus: 
So if you’re wondering why I do the things that I do, honestly I don’t know what to say.

All these questions and answers, I just like to have her, every moment every single day.

Verse Two:
Why I love to hold you even in the public, you could call it lovely PDA.

I don’t care what city, you could pick out of the 50 states like California in the bay.

Or how I like to take you to church on every Sunday, holding hands together as we pray.

I dont care if people hate, I dont care what people say, cause my love for you will always be the same.

Chorus: 
So if you’re wondering why I do the things that I do, honestly I don’t know what to say.

All these questions and answers, I just like to have her, every moment every single day.

(Repeat X3)","The Chainsmokers, 5 Seconds Of Summer",Who Do You Love
"I like my girls just like I like my honey; sweet
A little selfish
I like my women like I like my money; green
A little jealous
'Cause I'm a beautiful wreck
A colorful mess, but I'm funny
Oh, I'm a heartbreak vet
With a stone-cold neck, yeah, I'm charming


All the pretty girls in the world
But I'm in this space with you
Colored out the line
I came to find, my fire was fate with you
Heartache would stay with you
Fly great escapes with you


I countdown to the clock, saw you awake
Don't walk away, or would you wait for me?
I go out to the bar, fuck hangin' with the stars
Don't even have a car, but you would wait for me


All, all, all, all the pretty girls in the world
But I'm in this space with you
Colored out the lines
I came to find, my fire was fate with you
My heartache would stay with you
Escape with you


I like my girls just like I like my honey; sweet
A little selfish, huh
I like my women like I like my money; green
A little jealous
Oh, I'm a beautiful wreck
A colorful mess, but I'm funny
Oh, I'm a heartbreak vet
With a stone-cold neck, I'm so charming, oh, oh


La-la-la-la-la-la-la
Do-do-do do-do
Do-do-do do-do
Do-do-do do-do
Da-da-da da-da
Do-do-do do-do


Is it love all we need? Is it love?
Do-do-do do-do
To be the same prophecy? Is it love?
Do-do-do do-do
Do-re-mi-fa-so-la-ti, is it love?
Do-do-do do-do
Love, do-do-do do-do","Sigala, Paloma Faith",Lullaby
"Hey hm 
We went from 2 am calls  to zero communication yeah 
We spent too long in heaven that 
We felt the elevation 
Just 'cause it's different and we're not the same 
Doesn't mean things have to change 
I got no trouble with my pride 
got trouble cutting ties 

I don't wanna be your ex 
We way too good at being friends 
Can we still hangout 
On the low get wild 
I don't wanna be your 
I don't wanna be your 
Hit ya girl up with a text 
when you're alone 
and feeling stressed 
I don't gotta be in love with you 
to love you 

I don't wanna be your 
so don't treat me like your 
E e e e e e ex 
I don't want to be your 
E e e e e e ex 

Let's skip the awkward run ins 
Pretending like we're strangers 
And get back to how we started yeah 
Don't pour water on fire 
Just 'cause it's different and we're not the same 
Doesn't mean things have to change 
I got no trouble with my pride 
got trouble cutting ties
 
I don't wanna be your ex 
We way too good at being friends 
Can we still hangout 
On the low get wild 
I don't wanna be your 
I don't wanna be your 
Hit ya girl up with a text 
when you're alone and feeling stressed 
I don't gotta be in love with you 
to love you

I don't wanna be your 
so don't treat me like your 
E e e e e e ex 
I don't want to be your 
E e e e e e ex 

Don't act like I don't care for ya 
'Cause you know 
I'd always be there for ya 
Don't act like I don't care for ya 
'Cause you know 
I'd always be there for ya 

I don't want to be your ex 
We're way too good 
at being friends 
Can we still hangout on the low get wild 
I don't want to be your 
I don't want to be your
 
I don't wanna be your ex 
We way too good at being friends 
Can we still hangout 
On the low get wild 
I don't wanna be your 
I don't wanna be your 
Hit ya girl up with a text 
when you're alone and feeling stressed 
I don't gotta be in love with you 
to love you 

I don't wanna be your 
so don't treat me like your 
E e e e e e ex 
I don't want to be your 
E e e e e e ex 
E e e e e e ex
I don't want to be your
E e e e e e ex","Zedd, Alessia Cara",Stay
"Ooh-oh-woah
Balloons are deflated
Guess they look lifeless like me
We miss you on your side of the bed, hmm
Still got your things here
They stay with me like souvenirs
Don't wanna let you out my head
Just like the day that I met you
The day I thought forever
Say that you love me but that'll last for never
It's cold outside, like when you walked out my life
Why you walked out my life?
I, get like this every time
On these days that feel like you and me
Heartbreak anniversary
'Cause I, remember every time
On these days that feel like you and me
Heartbreak anniversary
Do you ever think of me?
No
No-no, no-no
Ooh-ooh
Nah
I'm buildin' my hopes up
Like prayers ain't so helpin' to this day
I still see the messages you read, hmm
I'm foolishly patient (Foolishly patient)
Can't get past the taste of your lips (Taste of your lips)
Don't wanna let you out my head
Just like the day that I met you
The day I thought forever
Say that you love me but that'll last for never
It's cold outside, like when you walked out my life
Why you walked out my life?
I, get like this every time
On these days that feel like you and me
Heartbreak anniversary
'Cause I, remember every time
On these days that feel like you and me
Heartbreak anniversary
Do you ever think of me?
Of me
'Cause I think of you, think of you","Galantis, Lucas & Steve, Ilira",Alien
"Bring the beat in!

Honey, honey
I can see the stars all the way from here
Can't you see the glow on the window pane?
I can feel the sun whenever you're near
Every time you touch me I just melt away

Now everybody asks me why I'm smiling out from ear to ear.
(They say love hurts)
But I know
(It's gonna take the real work)
Nothing's perfect, but it's worth it after fighting through my  tears 
And finally you put me first

Baby it's you.
You're the one I love.
You're the one I need.
You're the only one I see.
Come on baby it's you.

You're the one that gives your all.
You're the one I can always call.
When I need you make everything stop.
Finally you put my love on top.

Ooo! Come on Baby.
You put my love on top, top, top, top, top.
You put my love on top.
Ooo Ooo! Come on baby.
You put my love on top, top, top, top, top.
My love on top.
My love on top.

Come on Baby
I can feel the wind whipping past my face.
As we dance the night away.
Boy your lips taste like a night of champagne.
As I kiss you again, and again, and again and again.

Now everybody asks me why I'm smiling out from ear to ear.
(They say love hurts)
But I know
(It's gonna take the real work)
Nothing's perfect, but it's worth it after fighting through my  tears .
And finally you put me first.

Baby it's you.
You're the one I love.
You're the one I need.
You're the only one I see.
Come on baby it's you.
You're the one that gives your all.
You're the one I can always call.
When I need you make everything stop.
Finally you put my love on top.

Ooo! Baby.
You put my love on top, top, top, top, top.
You put my love on top.

Ooo Ooo! Come on baby.
You put my love on top, top, top, top, top.
My love on top.

Baby it's you.
You're the one I love.
You're the one I need.
You're the only thing I see.
Come on baby it's you.
You're the one that gives your all.
You're the one I that always calls.
When I need you baby everything stops.
Finally you put my love on top.

Baby.You're the one I love.
Baby You're all I need.
You're the only one I see.
Come on baby it's you.
You're the one that gives your all.
You're the one I always call.
When I need you everything stops.
Finally you put my love on top

Baby.
Cuz You're the one that I love.
You're the one that I need.
You're the only thing I see.
Baby baby it's you.
You're the one that gives your all.
You're the one that always calls.
When I need you everything stops.
Finally you put my love on top

Baby.
Cuz You're the one that I love.
You're the one that I need.
You're the only thing I see.
Baby baby it's you.
You're the one that gives your all.
You're the one that always calls.
When I need you everything stops.
Finally you put my love on top

Baby.
Cuz You're the one that I love.
Baby You're the one that I need.
You're the only one I see.
Baby baby it's you.
You're the one that gives your all.
You're the one that always calls.
When I need you everything stops.
Finally you put my love on top",Clean Bandit,Rockabye (Feat. Sean Paul & Anne-marie)
"You make me feel like
it's a Sunday morning
Whatever we do comes easy
like we want it
And we can't turn forever
off 'cause we ain't got the pressure on us
You make me feel like,
you make me feel like
it's a Sunday morning
Might seem like it took forever
But trust me when
I say this one was easy‚
mmm (Easy‚ yeah)
You think I need better
So baby‚ I need you to know
You hold my hand when I look at you
We know what it is
I know you're insecure, it's clear to see
So before we go to sleep,
let me tell you something
You make me feel like
it's a Sunday morning
Whatever we do comes
easy like we want it
And we can't turn forever
off 'cause we ain't got the pressure on us
You make me feel like‚
you make me feel like it's a
Sunday morning
What do I need to say
To let you know that
all the time you're in my head?
And I can't get enough of you
(Of you, baby)
Doesn't matter what I do
Listen, let it all get through
I never knew a thing so true
You make me feel like
it's a Sunday morning
Whatever we do comes easy
like we want it
And we can't turn forever
off 'cause we ain't got the pressure on us
You make me feel like‚
you make me feel like it's a
Sunday morning
Do-do-do-do-do-do
Do-do-do, Sunday morning
Do-do-do-do-do-do
Sunday morning
Do-do-do-do-do-do
Do-do-do, Sunday morning
Do-do-do-do-do-do
feel like it's a Sunday morning
You make me feel like
it's a Sunday morning
Whatever we do comes
easy like we want it (Yeah)
And we can't turn forever off 'cause
we ain't got the pressure on us (No, oh)
You make me feel like,
you make me feel like it's a
Sunday morning","Galantis, David Guetta, Little Mix",Heartbreak Anthem
"Some people live for the fortune 
Some people live just for the fame 
Some people live for the power, yea 
Some people live just to play the game 
Some people think that the physical things defines what's within 
And I've been there before, but that life's a bore 
So full of the superficial 

Some people want it all 
But I don't want nothing at all 
If it ain't you, baby 
If I ain't got you, baby
Some people want diamond rings
Some just want everything 
But everything means nothing 
If I ain't got you, yeah

Some people search for the fountain 
The Promise is forever young 
Some people need [both]three dozen roses 
And that's the only way you prove you love them 
(Yes baby-Alicia)

And in a world on a silver platter
And wondering what it means
With no one to share 
With no one who truly cares for me 

Some people want it all 
But I don't want nothing at all 
If it ain't you, babe 
If I ain't got you, baby 

Some people want diamond rings 
Some just want everything 
But everything means nothing 
If I ain't got you you you 

Some people want it all
But I don't want nothing at all 
If it ain't you, baby 
If I ain't got you, baby 
Some people want diamond rings 
Some just want everything 
But everything means nothing 
If I ain't got you, yeah
I ain't got you with me, baby 

Nothing in this whole wide world don't mean a thing 
If I ain't got you with me, baby ","Tiesto, Ava Max",The Motto
"Lately I`ve had the strangest feeling

With no very reason here to find

Yet the thought of losing you`s been hanging

around my mind

Far more frequently you`re wearing perfume

With you say `No special place to go`

But when I ask, will you be coming back soon

You don`t know, never know

Well, I`m a man of many wishes

Hope my premonition misses

But what I really feel

My eyes won`t let me hide

`Cause they always start to cry

`Cause this time could mean goodbye

Lately I`ve been staring in the mirror

Very slowly picking me apart

Trying to tell myself I have no reason

with your heart

Just the other night while you were sleeping

I vaguely heard you whisper someone`s name

But, when I asked you other the thoughts you`re keeping

You just said `Nothing`s changed`

Well,I`m a man of many wishes

I hope my premonition misses

what I really feel

My eyes won`t let me hide

`Cause they always start to cry

`Cause this time could mean good bye

Good bye oh~~

Well,I`m a man of many wishes

I hope my premonition misses

what I really feel

My eyes won`t let me hide

`Cause they always start to cry

`Cause this time could mean good bye...

최근에 난 이상한 감정을 갖게 되었어요

특별히 명백한 이유는 없지만

당신을 잃을 것 같다는 생각을 떨칠 수 없어요.

내 마음 주위로

요즘 당신은 향수를 자주 사용하는군요

‘어디갈 특별한 이유는 없어' 라고 말하면서

""곧 돌아올 거죠?"" 라고 내가 물으면

당신은 말합니다. 모른다, 절대 모른다고.

난 많은 소원을 가진 남자랍니다

나의 예감이 틀리기를 바라지만

내가 정말 느끼는 것을

나의 눈은 숨기지 못하죠

왜냐면 항상 눈물이 나오니깐

왜냐면 이번에는 아마 당신과 이별을 해야 하니까요

(오 나에게 이야기해 주세요)

최근에 난 거울 속을 들여다 보기 시작했죠

매우 천천히 나를 조각조각 내면서

나 자신에게 무슨 이유가 있다고 말하면서

당신의 마음을 잡지 못한 것은

그대여, 당신이 잠자고 있었던 지난 날 밤에

당신이 희미하게 누군가의 이름을 부르는 것을 들었어요

그러나 내가 당신에게 어떤 생각을 하고 있는 가를 물었을 때

당신은 무심코 말했어요 ‘변한 건 없어!'

난 많은 소원을 가진 남자랍니다

나의 예감이 틀리기를 바라지만

내가 정말 느끼는 것을

나의 눈은 숨기지 못하죠

왜냐면 항상 눈물이 나오니깐 (예,예 그대여)

왜냐면 이번에는 아마 당신과 이별을 해야 하니까","Sigala, Ella Eyre, Meghan Trainor",Just Got Paid (Feat. French Montana)
"Oh, ooh woah
Oh-oh, yeah
Yeah, yeah, yeah
If I had you back (Back)
I wouldn't've did all that (That)
I would've played it just
how you wanted to play it
You didn't yet see my worth,
so you try to play me
But I was so in love, love
That I just got a little bit too complicated
But if I had you back,
all I wanna do is fuck (Fuck)
Get drunk (Get drunk),
take drugs (Take drugs)
(Fuck love)
All I wanna do is fuck (Fuck)
Get drunk (Oh), hop planes
All lust, there will be no lovin' you
It would be no lovin' you
If it did it all again
I would give like ten percent
You deserve like half of that
I'ma need my money back
I'm ridin' through your hood,
you pissed me off again
Finna let new niggas come find me
I've been trippin' like
I don't got that designer pussy
All I'm tryna see is your credit card,
swipe it all for me
Get me what I want, I don't need it
Just CC me, just VV me,
just that dick when I call (Dick when I call)
No more feelings involved,
I done seen all I need to
Funny how you say you 'bout us
You don't ever pull up on me,
put it on me, get me right (Right)
You the one that ruined us,
can't give no, can't give no
Fuck (Fuck)
Get drunk (Get drunk),
take drugs (Take drugs)
(Fuck love)
All I wanna do is fuck (Fuck)
Get drunk (Oh), hop planes
All lust, there will be no lovin' you
It would be no lovin' you
(Yeah, yeah, yeah, yeah)
Come to find out you weren't
even worth my time
Tried to act like
I wasn't good enough in your eyes
Funny now that you callin',
that you ringin' my line
Why the hell is you ringin' my line?
Oh, I
Tell me what's changed,
is it my status? Is it my fame?
Is it my pockets? Is it my change
Is it my pride? Is it my body?
Back then,
""No show, no call"" was your motto
Only hit me up after the club
and you off that bottle
Pussy so good you thought you hit the lotto
But if I had you back,
all I wanna do is fuck (Fuck)
Get drunk (Get drunk),
take drugs (Take drugs)
Fuck love
All I wanna do is fuck (Fuck)
Get drunk (Oh), hop planes
All lust, it will be no lovin' you
It will be no lovin' you
Come to find out you weren't
even worth my time
Tried to act like
I wasn't good enough in your eyes
Funny now that you callin',
that you ringin' my line
Why the hell is you ringin' my line?","R3hab, Lukas Graham",Most People
"Do you remember
The 21st night of September?
Love was changin' the mind
of pretenders
While chasin' the clouds away
Our hearts were ringin'
In the key that
our souls were singin'
As we danced in the night,
remember
How the stars stole
the night away,
oh, yeah yeah yeah
Hey, hey, hey!
Ba-dee ya,
say, do you remember?
Ba-dee ya,
dancin' in September
Ba-dee ya,
never was a cloudy day
Ba duda, ba duda,
ba duda, badu
Ba duda, badu, ba duda, badu
Ba duda, badu, ba duda
My thoughts are with you
Holdin' hands with your heart
to see you
Only blue talk and love,
remember
How we knew love was here to stay
Now, December found the love
that we shared in September
Only blue talk and love, remember
The true love we share today
Hey, hey, hey!
Ba-dee ya,
say, do you remember?
Ba-dee Ya,
dancin' in September
Ba-dee ya,
never was a cloudy day
There was a...
Ba-dee ya, (dee ya dee ya)
say, do you remember?
Ba-dee ya, (dee ya dee ya)
dancin' in September
Ba-dee ya, (dee ya dee ya)
golden dreams were shiny days
The bell was ringin', oh oh
Our souls were singin'
Do you remember
every cloudy day? Yow
There was a...
Ba-dee ya, (dee ya dee ya)
say, do you remember?
Ba-dee ya, (dee ya dee ya)
dancin' in September
Ba-dee ya, (dee ya dee ya)
never was a cloudy day
And we'll say...
Ba-dee ya, (dee ya dee ya)
say, do you remember?
Ba-dee ya, (dee ya dee ya)
dancin' in September
Ba-dee ya, (dee ya dee ya)
golden dreams were shiny days
Ba-dee ya, dee ya dee ya
Ba-dee ya, dee ya dee ya
Ba-dee ya, dee ya dee ya, dee ya!
Ba-dee ya, dee ya dee ya
Ba-dee ya, dee ya dee ya
Ba-dee ya, dee ya dee ya, dee ya!",Yung Bae,Straight Up Relaxin' (Feat. Cosmo's Midnight)
"Saw you in the backyard, baby
Where the barbecue blazin' on a Saturday, yeah
House party jumpin' so loud
Crystal I was sippin' when he slid and he said
Can I kick it? Yes, you can
Can I kick it? Yes, you can
Can I kick it? Yes, we can (Yes, we can)

Jukebox on a blacktop
That's that West Coast love
After school, hookin' up in your drop top
West Coast love
Shootin' fireworks in the sky
Oh, how the time goes by
Boy, how you never left my mind
That's that West Coast love

West Coast love
Never left my mind
West Coast love
Never left my mind

Can we take it back to the Bay
When we bounce to the sound of my favorite band playing
Pulled up to the park one day
Watch you shoot, it was cute, so I slid and I said
Can I kick it? Let me know
Can I kick it? Boy, you gotta let me know
Take the PCH home for some X and Os
Pour the juice, we gon' set the tone
Let's get it on now (Yeah)

Jukebox on a blacktop
That's that West Coast love
After school, hookin' up in your drop top
West Coast love
Shootin' fireworks in the sky
Oh, how the time goes by
Boy, how you never left my mind
That's that West Coast love

West Coast love
Never left my mind
West Coast love
Never left my mind

I just need you to ride for me
All you gotta do is spend time on me
Need me a man that'll die for me
Oh, oh yeah
I just need you to ride for me (Yeah)
All you gotta do is spend time on me
Need me a man (Girl) that'll die for me
Oh, oh yeah (Yeah)

Jukebox on a blacktop
That's that West Coast love
After school, hookin' up in your drop top
West Coast love
Shootin' fireworks in the sky
Oh, how the time goes by
Boy, how you never left my mind
That's that West Coast love

West Coast love
Never left my mind
West Coast love
Never left my mind",Steve Aoki,Waste It On Me (Feat. BTS(방탄소년단))
"If I should stay
I would only be in your way. 
So I'll go but I know. 
I'll think of you every step of the way. 

Chorus: 

I will always love you. 
I will always love you. 

You, you, my darling you (mm). 

Bittersweet Memories. 
That is all I'm taking with me. 
So goodbye please don't cry. 
We both know I'm not what you. 
You need. 

Repeat Chorus 

I hope life treats you kind. 
And I hope you have all you dreamed of. 
And I wish to you joy and happiness. 
But above all this, I wish to you love. 

Repeat Chorus (3X) 

You, darling I love you. 
Oh, I'll always, I'll always love you (oo-oo)","R3hab, Mr Eazi, Wafia",I Wanna Run Away
"When I think about the messes I've made
Think about the rest of my days
I wonder if you'll stick with me or walk away
I think about all of my faults
Will you love me just because?
Do you believe that we could last forever, babe?
Why don't we go all the way? (All the way)
All the way (All the way)
All the way
I hope we go all the way (All the way)
I hope you do too
I do, I do, I do, I do (Yeah)
I hope you do too
Oh, I hope you do too
(Oh, I wonder if you)
I do, I do, I do, I do (Aye)
I hope you do too
Ooh, I hope you do too
When I think about every time (Time)
That your eyes light up like mine (Mine)
I know I want that feeling every single night
Am I crazy to think that you
Could ever want it as bad as I do?
I need it more than you could ever realize
Why don't we go all the way? (Why don't we go all the way?)
All the way (All the way)
All the way
I hope we go all the way (All the way)
I hope you do too
I do, I do, I do, I do
I hope you do too
I hope you do too
I do, I do, I do, I do
I hope you do too
I hope you do too
Do you, do you, do you?
'Cause I do, I do, I do
Do you, do you, do you?
'Cause I do, I do, I do
I do, I do, I do, I do
I hope you do too
I hope you do too
(Oh, I've been wonderin' if you)
I do, I do, I do, I do
I hope you do too
I hope you do too
Why don't we go all the way? (Why don't we go all the way?)
All the way (All the way)
All the way
I hope we go all the way (All the way)
I hope you do too, ooh","Gucci Mane, Sevenn, Tiesto",BOOM
"I can't keep up the pace
She got me out my ways
I eat on, put it on my plate
Honey, you be up to the same shame, same old
Can you speak up tomorrow?
I wake you up for talk
Baby, you're the wave
Maybe you're the way, you're divine
Better like wine in the nighttime, a perfect design
And where you go, I wanna go down deeper into your shine
Oh, I, can we hope high?
We running out of time, ooh
You better speak now, speak now
Pretty white dress
How'd he get between us?
And I know nobody knows, yeah
Pretty white dress
Hope nobody see us
'Fore you get home
Candy drip, IV
In me, I daydream
Can't breathe if it ain't me
Told you it can't be
All I know is don't leave
Can't breathe, oh, it ain't me
(Oh, no-no, no-no-no, baby)
We ride expensive highs
We tried to end it twice, yeah
Maybe you're the one, maybe you're the one
You're divine
Better like wine in the nighttime, a perfect design
And where you go, I wanna go down deeper into your shine (ohh)
Oh, I, can we hope high?
We running out of time (ohh)
You better speak now, speak now
Pretty white dress
How'd he get between us?
And I know nobody knows, yeah
Pretty white dress
Hope nobody see us
'Fore you get home
Pretty white dress
How'd he get between us?
Pretty white dress
Hope nobody sees us
Candy drip IV
In me, I daydream
Can't breathe if it ain't me
(If it ain't, if it ain't me)
Told you it can't be (be)
All I know is don't leave
Can't breathe, oh, it ain't me
We tried to end it twice",The Chainsmokers,Paris
"Yeah, can I, tell you what's on my mind

I know that you're on to me, baby
Tell me that you want me, baby
Really need your company, baby
If it's alright, you can ruin me, baby

Cruise around town, ride on autopilot
See it in your eyes, I can tell you liked it
Pull up in a Lamb', this is not a hybrid, my love
Give you everything, you get all of my love

Is it okay if I take a night to be present, yeah?
I can give you everything tonight
I can give you everything
Is it okay if I take a night to be present, yeah?
I can give you everything tonight

I just wanna be with you, baby
Say the word, I'm comin' through, baby
Tell me what I gotta do, baby
Pulled up to your avenue, baby

Cruise around town, ride on autopilot (Pilot)
See it in your eyes, I can tell you liked it (Tell you liked it)
Pull up in a Lamb', this is not a hybrid, my love
Give you everything, you get all of my love

Is it okay if I take a night to be present, yeah?
I can give you everything tonight
I can give you everything
Is it okay if I take a night to be present, yeah?
I can give you everything tonight

I can give you my love
Everything is yours
All I have, you gotta say the word
Could be yours
Nothing in this world change a thing
Nothing in this world change a thing

Is it okay if I take a night to be present, yeah?
I can give you everything tonight
I can give you everything
Is it okay if I take a night to be present, yeah?
I can give you everything tonight

Tonight, tonight, tonight, tonight",Fandom Video Gamers,Hey Mama
"One, two, three, four

Never sleep 'cause we night-owls
Roam the streets when the lights out
Give you the world that you deserve
Sometimes I wish we could reverse
VVS and your Prada
Spend it 'til I'm down to nada
Red on your new bottoms
I can't seem to get you out 'em

Do what I'm liking
This feeling so righteous
How did you know I wouldn't fight this
Baby go spend it all
Let's catch a flight then
Eat, get the itis
Hoping some day I don't wake up
I'll pay up

Feels like I'm buying more time
So keep grooving
And don't stop
What you're doing
I'm buying more time
'Cause I need an overdose of that

And tell me you're mine (ooh ooh)
Mine (ooh ooh)
You're mine (ooh ooh)
You're mine
And tell me you're mine (ooh ooh)
Mine (ooh ooh)
You're mine (ooh ooh)
You're mine

I can't get off her love
I can't get off her drug
I get to panicking
When she go vanishing
Ain't no sign in the shade room
She say, ""Broke bitches they be late soon""
Know I like it when you make rules
Tell me more I can pay you

Do what I'm liking
This feeling so righteous
How did you know I wouldn't fight this
Baby go spend it all
Let's catch a flight then
Eat, get the itis
Hoping some day I don't wake up
I'll pay up

Feels like I'm buying more time
So keep grooving
And don't stop
What you're doing
I'm buying more time
'Cause I need an overdose of that

And tell me you're mine (ooh ooh)
Mine (ooh ooh)
You're mine (ooh ooh)
You're mine
And tell me you're mine (ooh ooh)
Mine (ooh ooh)
You're mine (ooh ooh)
You're mine
Tell me you're mine

Fancy car, ride on my heart
Fancy car, shy? You ain't shy, no
Heart, more than you know
Ours, diamond and gold
The vice, all that we know
The life, diamond and gold
The vice, all that we know
The lights, all that we know
The eyes, all that she knows
The life, all that she'll know",Clean Bandit,Symphony (Feat. Zara Larsson)
"Girl you're a river
Of healing
I was certain that I wouldn't last
And you are the answer
To questions
That I didn't know my soul was asking

My time's been wasted
Searching for light
When you're the brightest thing in my life

'Cause you're the water that runs forever
When I'm feeling like my well is running dry
And you're my center you keep me tethered
Even when I drift away from time to time
Got me feeling like it's too good to be mine
Too good to be mine
I have been broken
And beaten
Yeah the world knows how to break you down
But when pain blurs my vision
I won't worry
Because you always turn it back around 

My time's been wasted
Searching for light
When you're the brightest thing in my life

'Cause you're the water that runs forever
When I'm feeling like my well is running dry
And you're my Center you keep me tethered
Even when I drift away from time to time
Got me feeling like it's too good to be mine
Too good to be mine
 'Cause you're the water that runs forever
When I'm feeling like my well is running dry
And you're my Center you keep me tethered
Even when I drift away from time to time
Got me feeling like it's too good to be mine
Too good to be mine
Got me feeling like it's too good to be mine 
Too good to be mine 
Got me feeling like it's too good to be 
Too good to be mine","Frank Walker, MOTi, SHAI",I Wonder (feat. Shai)
"You're turned in to Dawn FM
The middle of nowhere on your dial
So sit back and unpack
You may be here awhile
Now that all future plans 
have been postponed
And it's time to look back 
on the things you thought you owned
Do you remember them well?
Were you high or just stoned?
And how many grudges 
did you take to your grave?
When you weren't liked or followed, 
how did you behave?
Was it often a dissonant 
chord you were strumming?
Were you ever in tune 
with the song life was humming?
If pain's living on 
when your body's long gone
And your phantom regret hasn't 
let it go yet
You may not have died in the way 
that you must
All specters are haunted by their 
own lack of trust
When you're all out of time, 
there's nothing but space
No hunting, no gathering
No nations, no race
And Heaven is closer than those 
tears on your face
When the purple rain falls
We are all bathed in it's grace
Heaven's for those who let go of regret
And you have to wait here 
when you're not all there yet
But you could be there 
by the end of this song
Where The Weeknd's 
so good and he plays all week long
Bang a gong, get it on
And if your broken heart's heavy 
when you step on the scale
You'll be lighter than air 
when they pull back the vail
Consider the flowers, 
they don't try to look right
They just open their 
petals and turn to the light
Are you listening real close?
Heaven's not that, it's this
It's the depth of this moment
We don't reach for bliss
God knows life is chaos
But He made one thing true
You gotta unwind your mind
Train your soul to align
And dance 'til you find that divine boogaloo
In other words
You gotta be Heaven, to see Heaven
May peace be with you",Madonna,"4 Minutes (Feat. Justin Timberlake, Timbaland)"
"(Murda on the beat, so it's not nice)
Booty so big (Work), Lord, have mercy
Why I keep bossing like I do 
(Work, work it, work it)
Why I keep flossing like I do 
(Work, work it, work it)
Why I keep saucing like I do 
(Work, work it, work it)
Why it keep costing like it do 
(Work, work it, work it)
All this ass up in my jeans 
(Work, work it, work it)
You can't get up in between 
(Work, work it, work it)
You tryna get a piece of me 
(Work, work it, work it)
I can teach you a couple things 
(Lord, have mercy, work)
Boy, you lookin' at me like 
I ain't give you no choice
If I count to three, 
bet you be on your knees
You wrapped 'round my hand like Cartier, oh
You can't get this thickness 
out of your mind
He say he like that Laffy Taffy
He so goofy, call me daddy
He go stupid, he go daffy
Introduce me to his papi
He can never live without me
I'm so real, I'm never cappin'
If he got it like that, like that
I can take it, take it there
'Cause my
Booty so big (Work), Lord, have mercy
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things 
(Lord, have mercy)
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things
Like
How to surf it, man, how to work it, man
It's on purpose, I'm doin' it big
Body language like speaking spanglish
I'll educate ya how to do this shit
Temporary, that's never rare-y
I'm necessary, yeah, I am that bitch
You can't get this thickness 
out of your mind
He say he like that Laffy Taffy
He so goofy, call me daddy
He go stupid, he go daffy
Introduce me to his papi
He can never live without me
I'm so real, I'm never cappin'
If he got it like that, like that
I can take it, take it there
'Cause my
Booty so big (Work), Lord, have mercy
Why I keep bossing like I do (I do)
Why I keep flossing like I do (I do)
Why I keep saucing like I do
Why it keep costing like it do
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things
Why I keep bossing like I do (Boss)
Why I keep flossing like I do (Floss)
Why I keep saucing like I do (Sauce)
Why it keep costing like it do (Cost)
All this ass up in my jeans
You can't get up in between
You tryna get a piece of me
I can teach you a couple things",Clean Bandit,Symphony (Feat. Zara Larsson)
